"","CBSA","edu_hs_only","edu_ged_only","edu_bs","edu_ms","edu_prof","edu_phd","med_age_total","total_pop","med_income","one_bed_rent.x","two_bed_rent.x","three_bed_rent.x","four_bed_rent.x","five_bed_rent.x","priv_trans_all_qty","public_trans_qty","walked_qty","bike_cab_other_qty","work_from_home_qty","avg_time_to_work_all","priv_trans_all_time","priv_trans_alone_time","priv_trans_carpool_time","public_trans_time","walked_time","bike_cab_other_time","priv_trans_carpool_qty","TOTCNG","TOTADH","NONDCNG","NONDADH","TOTRATE","NONDRATE","Avg.Min.Temp","Avg.Max.Temp","cases","deaths","one_bed_avg","two_bed_avg","three_bed_avg","four_bed_avg","fiveplus_bed_avg","condo_avg","NAME","Avg_User","City, State","Year","Median AQI","CBSA_name.x","tot_emp_hc.x","loc_quotient_hc.x","tot_emp_rest.x","loc_quotient_rest.x","pop.x","pca_hc.x","rest_hc.x","one_bed_rent.y","two_bed_rent.y","three_bed_rent.y","four_bed_rent.y","five_bed_rent.y","CBSA_name.y","tot_emp_hc.y","loc_quotient_hc.y","tot_emp_rest.y","loc_quotient_rest.y","pop.y","pca_hc.y","rest_hc.y"
"169",17200,42714,6575,29710,15311,4315,4119,45.1,217006,56379.5,NA,NA,NA,NA,NA,81858,964,6368,1837,6175,50665,92161,81858,10303,964,6368,1837,10303,301,49437,NA,NA,216.537222225,NA,38.32,52.4175,88.25,1,120296,129970,168069,205769,252115,152179,"Claremont-Lebanon, NH-VT Micro Area",917,"Claremont-Lebanon, NH-VT",2019,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170",17220,21906,4283,8966,3544,759,407,41.9,94087,44316,NA,NA,NA,NA,NA,32945,220,903,836,1000,37900,35941,32945,2996,220,903,836,2996,231,41881,20,4928,351.9088889,32.6162962966667,46.6133333333333,62.97,238.820512820513,6.25641025641026,74911,84916,118810,152181,199634,137947,"Clarksburg, WV Micro Area",227,"Clarksburg, WV",2019,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171",17260,3091,911,1816,608,155,37,33.9,24804,28217,NA,NA,NA,NA,NA,6690,68,266,126,143,8181,7721,6690,1031,68,266,126,1031,52,15428,4,413,589.96,15.78888889,54.54,77.28,1205.30769230769,33.4615384615385,44781,50820,61501,71164,103239,NA,"Clarksdale, MS Micro Area",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172",17300,43226,9267,25335,10077,1654,1104,30.3,277912,46202.5,617.142857142857,710,876.571428571429,1218.28571428571,1471.42857142857,101947,915,4767,1933,2708,59625,111635,101947,9688,915,4767,1933,9688,385,132274,33,6027,596.7362963,17.4159259263333,50.4133333333333,68.9866666666667,1743.5641025641,24.8205128205128,137956,165122,227983,306515,385765,200499,"Clarksville, TN-KY Metro Area",974,"Clarksville, TN-KY",2019,40,"Clarksville, TN-KY",4520,"0.89",10270,"1.29",282994,0.0159720700792243,0.0159720700792243,617.142857142857,710,876.571428571429,1218.28571428571,1471.42857142857,"Clarksville, TN-KY",4520,"0.89",10270,"1.29",282994,0.0159720700792243,0.0159720700792243
"173",17340,10868,1993,4821,1810,528,309,45.8,64076,36132,NA,NA,NA,NA,NA,15728,170,684,100,2484,18917,17963,15728,2235,170,684,100,2235,81,16501,10,1219,255.18,18.85,46.31,64.91,615,12.6153846153846,145361,186802,232859,299834,367162,167643,"Clearlake, CA Micro Area",148,"Clearlake, CA",2019,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174",17380,4335,1036,2878,1209,279,220,34.9,33615,27457,NA,NA,NA,NA,NA,9513,25,411,99,267,11315,10780,9513,1267,25,411,99,1267,99,17274,7,1112,505.8988889,32.57,54.1,78.54,1937.46153846154,74,44781,50820,61501,71164,103239,NA,"Cleveland, MS Micro Area",14,"Cleveland, MS",2019,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175",17420,21365,6310,10045,4056,914,616,40.1,119557,43293,528,608.5,795.5,1026.5,1194.5,41761,95,1047,674,2011,48236,46420,41761,4659,95,1047,674,4659,239,71290,22,3454,643.63944445,24.22888889,52.585,70.67,1820.5,16.1538461538462,131285,132460,177850,225673,285221,155558,"Cleveland, TN Metro Area",97,NA,NA,NA,"Cleveland, TN",2010,"0.74",4610,"1.08",121339,0.0165651604183321,0.0165651604183321,528,608.5,795.5,1026.5,1194.5,"Cleveland, TN",2010,"0.74",4610,"1.08",121339,0.0165651604183321,0.0165651604183321
"176",17460,372558,51491,258286,116952,32306,16587,41.2,2061630,51001,638.48,752.64,924.56,1212.64,1269.76,785779,30820,22280,11964,37260,919876,854812,785779,69033,30820,22280,11964,69033,1687,1063242,157,68971,509.15933334,30.453555556,44.334,58.342,4997.8,180.692307692308,117721,128484,154736,201679,230423,155507,"Cleveland-Elyria, OH Metro Area",29187,"Cleveland-Elyria, OH",2019,50,"Cleveland-Elyria, OH",77910,"1.26",89800,"0.93",2061766,0.037787993399833,0.037787993399833,638.48,752.64,924.56,1212.64,1269.76,"Cleveland-Elyria, OH",77910,"1.26",89800,"0.93",2061766,0.037787993399833,0.037787993399833
"177",17500,5944,1619,1413,595,92,83,33.8,38376,37552,NA,NA,NA,NA,NA,9715,1246,368,899,490,14585,12072,9715,2357,1246,368,899,2357,59,11165,11,2062,285.2588889,52.67888889,66.03,85.75,2109.92307692308,41.6923076923077,82767,126544,170975,220085,233546,107021,"Clewiston, FL Micro Area",1256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178",17540,10732,1345,4476,1473,259,204,42.2,47972,50067,NA,NA,NA,NA,NA,18672,192,547,233,842,21464,20492,18672,1820,192,547,233,1820,79,25845,5,514,526.2,10.47,41.74,61.28,1262.76923076923,24.1538461538462,91021,105001,141955,163870,199819,203883,"Clinton, IA Micro Area",140,"Clinton, IA",2019,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
